Engineering Stress	Engineering Strain
397722487.5	0.031455655
397754372.8	0.031486012
397916322.6	0.031517857
398067938.2	0.031548214
398141081.5	0.031578571
398073305.6	0.031607143
397968757.2	0.031632738
398092172	0.031664583
398269784.1	0.03169494
398306716.8	0.031725
398374293	0.031755357
398392879	0.031784226
398476357.5	0.031814286
398681128.1	0.031846429
398691142.5	0.031876488
398659578	0.031903571
398586514.3	0.031930655
398660619.2	0.031961012
398806546.6	0.031992857
398885218.6	0.032023214
398973223.1	0.032053571
398969177.4	0.032082143
399011397.8	0.0321125
399197942.7	0.032144345
399235435.5	0.032173214
399250056.5	0.032203571
399191132.6	0.032228869
399209839.6	0.032259226
399364698.9	0.032289583
399485150.5	0.03231994
399541590.5	0.03235
399577441.8	0.032378869
399580966.8	0.032409226
399777485.7	0.032441071
399865610.2	0.032471429
399904425.6	0.0325
399840534.9	0.032527083
399839693.5	0.03255744
399980934.6	0.032587798
400088286.7	0.032617857
400149333.3	0.032648214
400197922.9	0.032677083
400177012.5	0.032705655
400368364.7	0.032739286
400470069	0.032767857
400522623.7	0.032798214
400487133.5	0.032825298
400438504.5	0.032853869
400591041.2	0.032885714
400691944.4	0.032916071
400742295.7	0.03294494
400791965.9	0.032975
400781270.6	0.033002083
400934087.8	0.033035714
401080535.8	0.033066071
401144546.6	0.033096429
401113543	0.033125
401030345	0.033152083
401123957.9	0.03318244
401268082.4	0.033212798
401266600.4	0.033242857
401348115.6	0.033271726
401356247.3	0.033300298
401486712.4	0.033332143
401664084.2	0.033363988
401687798.4	0.033394345
401677543.9	0.033421429
401614293.9	0.033450298
401691443.5	0.033480655
401816541.2	0.033510714
401905988.4	0.033539583
401953215.1	0.03356994
401977930.1	0.033598512
402050873.7	0.033628869
402250397	0.033662202
402314007.2	0.03369256
402327546.6	0.033721131
402233172.9	0.033746726
402287209.7	0.033777083
402378980.3	0.03380744
402502034.9	0.033837798
402541330.6	0.033867857
402592283.2	0.033896726
402609667.6	0.033927083
402850649.6	0.033958929
402892669.4	0.033989286
402946626.3	0.034017857
402878288.5	0.03404494
402850569.9	0.034073512
402994574.4	0.034105655
403136015.2	0.034135714
403182040.3	0.034166071
403241604.8	0.03419494
403219253.6	0.034223512
403411606.6	0.034256845
403517236.6	0.034285714
403556973.1	0.034316071
403531456.1	0.034343155
403465442.7	0.034371726
403579364.7	0.034402083
403707947.1	0.034433929
403802320.8	0.034464286
403833646.1	0.034492857
403851591.4	0.034521726
403945845	0.034553571
404076230.3	0.034583929
404111039.4	0.034613988
404114084.2	0.034642857
404036894.3	0.03466994
404127823.5	0.034700298
404259971.3	0.034730655
404380222.2	0.0347625
404398808.2	0.034791071
404353263.4	0.03481994
404423283.2	0.03485
